id,name,industry,phase,health_score,adoption_pct,seats_licensed,seats_active,exec_sponsors,stakeholders,avg_influence,products,champions_count,trainers_certified,coe_established,launch_date,contract_start,renewal_date,csm_owner,last_qbr,next_qbr,nps_score,color,stars,notes
canva,Canva,Design & Creative Tech,EX,97.423,65,5200,3380,8,24,92.1,Claude.ai Work + API,12,8,Yes,01/15/25,12/01/24,11/30/26,Jordan Wells,07/15/26,10/15/26,72,#7D2AE8,5,Reference customer. 65% daily adoption across 5000+ employees. Demand outpaced supply at launch.
gitlab,GitLab,DevSecOps Platform,EX,96.814,88,2100,1848,7,19,91.8,Claude API,15,9,Yes,02/01/25,01/15/25,01/14/27,Priya Osei,07/01/26,10/01/26,81,#FC6D26,5,98% satisfaction rate. 25-50% productivity gains. Claude became their most utilized new tool.
quantium,Quantium,Data & Analytics,EX,96.107,89,1350,1202,9,21,91.2,Claude.ai Work + API,18,11,Yes,03/15/25,03/01/25,02/28/27,Marcus Lin,06/15/26,09/15/26,79,#005BAA,5,89% of 1200+ team members using AI daily. Engineering tasks completed in hours instead of days.
stripe,Stripe,Financial Technology,EX,95.836,78,4800,3744,6,16,90.9,Claude API,10,7,Yes,04/01/25,03/15/25,03/14/27,Jordan Wells,07/20/26,10/20/26,68,#635BFF,5,Strong API integration across engineering. Expanding to non-technical teams in Q4 2026.
notion,Notion,Productivity Software,EX,95.209,81,700,567,5,18,90.4,Claude.ai Work,9,5,Yes,05/01/25,04/15/25,04/14/27,Priya Osei,08/01/26,11/01/26,75,#111111,4,Organic adoption led by product team. Top use case is content creation and documentation.
sfdc,Salesforce,Enterprise Software,AC,94.712,52,8500,4420,7,22,89.8,Claude.ai Work + API,14,6,Yes,06/01/25,05/15/25,05/14/27,Marcus Lin,08/05/26,11/05/26,61,#00A1E0,4,Large deployment. CoE launched. Priority: scale Train the Trainer program across all business units.
wday,Workday,HR Technology,AC,94.103,47,3200,1504,5,17,89.3,Claude.ai Work,8,4,No,07/01/25,06/15/25,06/14/27,Jordan Wells,08/10/26,11/10/26,58,#F36F20,4,Adoption below projection. Executive sponsor needs re-engagement. Schedule EBR before Q4.
now,ServiceNow,IT Service Management,AC,93.819,44,5600,2464,6,20,88.9,Claude.ai Work + API,11,5,No,07/15/25,07/01/25,06/30/27,Priya Osei,08/15/26,11/15/26,55,#2E844A,4,IT org adopted quickly. Key challenge: expand beyond IT into business units in Acceleration phase.
dbrx,Databricks,Data & AI Platform,AC,93.440,61,2800,1708,5,15,88.5,Claude API,9,5,Yes,08/01/25,07/15/25,07/14/27,Marcus Lin,08/20/26,11/20/26,64,#FF3621,4,Heavy API usage by data engineering. Exploring Claude.ai Work deployment for non-technical users.
docu,DocuSign,Legal Technology,AC,92.981,39,1900,741,4,14,88.1,Claude.ai Work,6,3,No,08/15/25,08/01/25,07/31/27,Jordan Wells,08/25/26,11/25/26,52,#4C00FF,3,Legal team is primary adopter. Need to activate sales and operations teams in Phase 2.
zend,Zendesk,Customer Experience,AC,92.634,43,2100,903,4,16,87.8,Claude.ai Work + API,7,4,No,09/01/25,08/15/25,08/14/27,Priya Osei,07/25/26,10/25/26,49,#03363D,3,CX team is core adopter. Engineering integration team ramping up. Champions program in design.
hubs,HubSpot,Marketing Technology,AC,92.311,38,1600,608,3,15,87.5,Claude.ai Work,5,3,No,09/15/25,09/01/25,08/31/27,Marcus Lin,07/30/26,10/30/26,47,#FF7A59,3,Marketing team drives adoption. Primary use case is content and campaign generation.
figma,Figma,Design Software,AC,91.823,55,900,495,4,13,87.2,Claude.ai Work,8,4,Yes,10/01/25,09/15/25,09/14/27,Jordan Wells,07/10/26,10/10/26,57,#F24E1E,3,Strong adoption in product and design. Slower in sales. CoE established and active.
atls,Atlassian,Developer Tools,AC,91.502,49,4100,2009,5,18,86.9,Claude API,7,4,No,10/15/25,10/01/25,09/30/27,Priya Osei,07/05/26,10/05/26,53,#0052CC,3,Engineering-heavy deployment. Jira + Claude integration is the flagship use case.
asana,Asana,Project Management,AC,91.041,36,1200,432,3,12,86.6,Claude.ai Work,4,2,No,11/01/25,10/15/25,10/14/27,Marcus Lin,06/30/26,09/30/26,44,#F06A6A,3,Ops and PM teams leading. Needs executive push to expand adoption beyond core operations.
nlsn,Nielsen,Market Research,AT,90.438,18,3800,684,2,11,86.2,Claude.ai Work,2,1,No,12/01/25,11/15/25,11/14/27,Jordan Wells,06/15/26,09/15/26,38,#005AC5,3,Early Activation phase. Executive sponsor secured. Champions Program not yet launched.
grtn,Gartner,Research & Advisory,AT,89.917,22,2400,528,3,13,85.8,Claude.ai Work,3,1,No,12/15/25,12/01/25,11/30/27,Priya Osei,06/20/26,09/20/26,41,#3A6FA5,3,Research team is first mover. Analyst productivity is driving early adoption narrative internally.
mck,McKinsey & Co.,Management Consulting,AT,89.502,15,5000,750,2,10,85.4,Claude.ai Work + API,2,1,No,01/15/26,01/01/26,12/31/27,Marcus Lin,05/30/26,08/30/26,35,#003087,3,IT security review delayed rollout by 6 weeks. Now cleared. Needs Enablement Lead identified.
dtt,Deloitte,Professional Services,AT,89.134,12,15000,1800,3,14,85.1,Claude.ai Work + API,3,2,No,02/01/26,01/15/26,01/14/28,Jordan Wells,05/15/26,08/15/26,32,#86BC25,3,Largest seat deployment in portfolio. Compliance review ongoing. Champions Program launch target Q4 2026.
accn,Accenture,Technology Services,AT,88.721,19,12000,2280,2,12,84.8,Claude API,2,1,No,03/01/26,02/15/26,02/14/28,Priya Osei,05/01/26,08/01/26,29,#A100FF,3,API-first deployment through tech team. Critical gap: no business stakeholder engagement yet.
